id,created_at,text,retweets,favorites
1227563001307205637,2020-02-12 12:00:01,"b'I dream of an Amazon region that fights for the rights of the poor, the original peoples and the least of our brothers and sisters, where their voices can be heard and their dignity advanced. #QueridaAmazonia'",2020,12556
1227547901418758145,2020-02-12 11:00:01,b'I am addressing the present Exhortation to the whole world. I am doing so to help awaken their affection and concern for that land which is also \xe2\x80\x9cours\xe2\x80\x9d. #QueridaAmazonia https://t.co/LvZxR3otNq',1233,6607
1227532798119968768,2020-02-12 10:00:00,"b'""Blessed are they who mourn, for they will be comforted"" (Mt 5:4). Wise and blessed is the person who welcomes the pain that comes with love, because they will receive the consolation of the Holy Spirit,who is God\'s tenderness who forgives and corrects.#GeneralAudience#Beatitudes'",3797,20397
1227208159095410688,2020-02-11 12:30:00,"b'Jesus Christ offers His mercy to those who endure distress due to situations of frailty, suffering, and weakness. He invites everyone to share in His life in order to experience tender love. #WorldDayOfTheSick https://t.co/8d2uDYhbA0'",2497,13881
1227177960450314241,2020-02-11 10:30:00,"b'I entrust to the Virgin Mary, Health of the Sick, all those who carry the burden of illness, along with their families and healthcare providers. I warmly assure everyone of my closeness in prayer. #WorldDayOfTheSick #OurLadyOfLourdes'",5305,29271
1226845771154128897,2020-02-10 12:30:00,"b'Faith grows when we invoke the Lord with confidence, bringing to Jesus who we are, with open hearts, without hiding our sufferings.'",4638,24411
1226498482950639616,2020-02-09 13:30:00,"b'Painful reports are still emerging from #Syria regarding the conditions facing women and children, as people are forced to flee the war. I renew my appeal to all parties involved to engage in dialogue and to respect Humanitarian Law in order to safeguard the lives of civilians.'",3358,18580
1226483384400121858,2020-02-09 12:30:00,"b'In the #GospelOfTheDay (Mt 5:13-16), Jesus calls His disciples to be salt and light in the world. The person who lives and spreads the grace of Christ is salt. The person who lets the Gospel shine with good deeds is light.'",4067,19355
1226128549989339137,2020-02-08 13:00:01,b'Together against trafficking. Only together can we defeat this scourge and protect the victims. Prayer is the strength that sustains our commitment. #PrayAgainstTrafficking',2486,14897
1226113448917909506,2020-02-08 12:00:00,"b'Saint Bakhita, patron saint of victims of trafficking, faced the pain of slavery and witnessed the freedom and joy of encountering the Lord. Let us pray that all may live this joy and break the chains of slavery. #PrayAgainstTrafficking'",3241,18191
1225755397518249984,2020-02-07 12:17:14,"b'Both John the Baptist, who is the greatest man born of woman, and the Son of God have chosen the path of humiliation. God shows this path to Christians so they can move forward. One cannot be humble without having suffered humiliation. #HomilySantaMarta'",3533,20610
1225430194246340609,2020-02-06 14:45:00,b'#PrayAgainstTrafficking https://t.co/QWZLB6eUkN',2820,11744
